Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
Honda Dio 2016,"Rs 65,000",Honda,Dio,2016,110 cc,"26,500 km",Scooters,Used,HONDA,Boralesgamuwa,https://ikman.lk/en/ad/honda-dio-2016-for-sale-colombo-6041
Bajaj Pulsar 150 2015,"Rs 95,000",Bajaj,Pulsar 150,2015,150 cc,"23,500 km",Motorbikes,Used,BAJAJ,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-pulsar-150-2015-for-sale-colombo-1372
Honda Dio 2017,"Rs 86,500",Honda,Dio,2017,110 cc,"21,300 km",Scooters,Used,Honda,Boralesgamuwa,https://ikman.lk/en/ad/honda-dio-2017-for-sale-colombo-6726
Bajaj Pulsar 180 2017,"Rs 145,000",Bajaj,Pulsar 180,2017,180 cc,"21,500 km",Motorbikes,Used,Bajaj,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-pulsar-180-2017-for-sale-colombo-406
Yamaha Ray ZR 2020,"Rs 95,000",Yamaha,Ray ZR,2020,115 cc,"19,500 km",Scooters,Used,YAMAHA,Boralesgamuwa,https://ikman.lk/en/ad/yamaha-ray-zr-2020-for-sale-colombo-451
Bajaj Pulsar 180 2014,"Rs 500,000",Bajaj,Pulsar 180,2014,180 cc,"87,000 km",Motorbikes,Used,,Welimada,https://ikman.lk/en/ad/bajaj-pulsar-180-2014-for-sale-badulla
Hero Pleasure 110 2011,"Rs 230,000",Hero,Pleasure,2011,110 cc,"50,000 km",Scooters,Used,110,Beliatta,https://ikman.lk/en/ad/hero-pleasure-110-2011-for-sale-hambantota
TVS Wego 2016,"Rs 450,000",TVS,Wego,2016,110 cc,"93,000 km",Scooters,Used,,Dehiwala,https://ikman.lk/en/ad/tvs-wego-2016-for-sale-colombo-1052
Kinetic Safari 2020,"Rs 145,000",Kinetic,Safari,2020,48 cc,"20,000 km",Motorbikes,Used,KINETIC SAFARI 2020,Mawanella,https://ikman.lk/en/ad/kinetic-safari-2020-for-sale-kegalle
Bajaj Pulsar 180 2005,"Rs 238,000",Bajaj,Pulsar 180,2005,180 cc,"75,000 km",Motorbikes,Used,Bajaj,Peradeniya,https://ikman.lk/en/ad/bajaj-pulsar-180-katu-2005-for-sale-kandy
TVS Ntorq 125 Brand New 2026,"Rs 174,900",TVS,Ntorq 125,2026,125 cc,0 km,Scooters,Brand New,Brand New,Piliyandala,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-574
BMW C 400 GT 2025,"Rs 4,750,000",BMW,C 400 GT,2025,350 cc,100 km,Scooters,Brand New,Bmw,Katugastota,https://ikman.lk/en/ad/bmw-c-400-gt-c400gt-2025-for-sale-kandy-4
Ranomoto CG125 2024,"Rs 285,000",Ranomoto,CG125,2024,125 cc,"2,200 km",Scooters,Used,Ranomoto,Kilinochchi City,https://ikman.lk/en/ad/ranomoto-cg125-rz-2024-for-sale-kilinochchi
Hero Dawn 2008,"Rs 140,000",Hero,Dawn,2008,100 cc,"40,000 km",Motorbikes,Used,Hero,Akuressa,https://ikman.lk/en/ad/hero-dawn-honda-cd-2008-for-sale-matara
Bajaj Pulsar 150 2016,"Rs 220,000",Bajaj,Pulsar 150,2016,150 cc,"37,894 km",Motorbikes,Used,pulsar 150,Pannala,https://ikman.lk/en/ad/bajaj-pulsar-150-2016-for-sale-kurunegala-1340
Honda Dio 2011,"Rs 160,000",Honda,Dio,2011,100 cc,"56,000 km",Scooters,Used,,Wattala,https://ikman.lk/en/ad/honda-dio-2011-for-sale-gampaha-1025
Honda Dio 2016,"Rs 450,000",Honda,Dio,2016,110 cc,"34,464 km",Scooters,Used,dio,Beliatta,https://ikman.lk/en/ad/honda-dio-2016-for-sale-hambantota-441
